UserID,NumOfTransactionsToFriends,NumOfTransactionsToFriendsOfFriends,NumOfTransactionsToPeopleOutsideFourthDegree,NumOfTransactionsFromFriends,NumOfTransactionsFromFriendsOfFriends,NumOfTransactionsFromPeopleOutsideFourthDegree
0	0	0	0	400	199	0
1	18	10	0	125	191	0
2	18	19	0	25	58	0
3	15	5	0	82	139	0
4	23	15	0	95	103	0
5	16	9	0	5	5	0
6	12	17	0	87	91	0
7	15	8	1	39	18	2
8	24	19	0	401	214	0
9	19	12	0	20	6	2
10	27	10	0	42	74	0
11	13	12	0	46	24	0
12	15	17	0	130	77	1
13	21	14	0	117	96	0
14	24	10	0	329	122	0
15	28	18	0	1118	479	0
16	16	17	0	25	27	0
17	22	18	0	208	145	0
18	24	10	0	44	21	0
19	26	17	0	94	111	0
20	17	11	0	184	135	0
21	12	13	1	35	53	0
22	23	10	0	463	237	1
23	11	11	1	369	132	0
24	26	10	0	0	4	2
25	17	18	0	309	102	0
26	13	13	3	0	4	2
27	17	16	0	59	34	0
28	20	15	5	0	0	1
29	14	12	0	52	12	0
30	19	12	0	11	8	2
31	24	16	0	39	37	1
32	25	15	0	359	168	0
33	18	15	1	14	22	0
34	11	18	0	8112	915	0
35	19	6	0	110	50	1
36	19	12	0	77	66	1
37	24	11	1	0	4	3
38	14	7	0	5	21	0
39	14	14	1	0	0	1
40	22	15	0	540	110	1
41	28	7	1	111	31	0
42	17	14	2	34	47	0
43	19	10	0	17	14	2
44	18	10	0	22	33	0
45	21	17	0	1	4	0
46	13	14	0	1118	565	0
47	20	15	0	661	123	0
48	23	10	0	449	170	1
49	17	19	0	298	234	0
50	22	12	0	6	30	0
51	20	7	0	1	14	0
52	22	14	0	52	66	0
53	13	11	0	197	33	0
54	15	9	0	129	54	0
55	19	10	0	28	47	0
56	15	16	0	326	157	0
57	29	8	0	43	61	1
58	14	13	0	698	255	0
59	18	11	0	433	289	0
60	22	5	0	22	31	0
61	10	15	1	40	22	0
62	25	14	0	61	45	0
63	18	9	0	57	48	0
64	13	10	0	0	14	0
65	24	9	0	99	80	0
66	18	16	0	563	238	0
67	14	14	0	25	15	0
68	13	20	0	535	155	0
69	18	6	3	8	12	0
70	26	18	0	32	63	0
71	21	8	0	27	23	0
72	22	10	0	0	11	0
73	13	9	0	2	14	1
74	17	9	0	482	144	1
75	18	11	0	72	41	0
76	15	13	0	0	17	0
77	24	12	3	2	1	2
78	22	5	0	24	15	1
79	18	13	2	101	84	0
80	21	9	1	10	48	1
81	20	10	0	145	116	1
82	11	19	4	0	0	1
83	21	8	0	65	139	0
84	19	15	0	82	106	0
85	20	8	0	741	263	0
86	28	13	1	74	20	1
87	19	13	0	2	19	0
88	19	15	0	18	51	0
89	16	11	0	58	36	0
90	17	19	1	9	28	1
91	24	12	0	357	137	0
92	23	12	0	104	101	0
93	18	17	0	179	114	0
94	15	15	0	73	24	0
95	12	11	0	105	98	0
96	12	11	0	81	20	0
97	26	9	0	351	84	0
98	15	10	0	52	10	1
99	25	18	0	268	151	0
100	21	10	1	33	28	0
101	24	7	0	0	11	0
102	14	16	0	184	93	0
103	18	10	0	250	210	0
104	19	16	0	262	125	0
105	23	15	0	59	21	0
106	28	12	0	28	52	0
107	17	10	0	19	53	0
108	14	16	1	17	22	1
109	22	15	0	47	16	2
110	22	18	0	50	80	0
111	12	15	0	287	180	0
112	24	6	0	230	108	0
113	15	8	0	48	72	1
114	25	7	0	15	56	0
115	22	10	0	573	267	0
116	16	16	0	79	38	0
117	19	17	0	12	38	2
118	18	16	0	5	30	2
119	18	8	1	232	65	0
120	26	11	0	68	70	1
121	26	21	0	57	27	0
122	17	12	1	134	90	0
123	18	8	0	5	5	0
124	23	12	0	18	22	0
125	26	16	1	370	179	0
126	16	17	0	19	32	1
127	23	11	0	27	13	0
128	22	13	0	292	181	0
129	15	12	2	23	9	1
130	17	15	0	23	55	0
131	25	14	0	156	102	0
132	19	16	0	131	80	0
133	28	12	1	27	17	0
134	11	9	0	34	60	1
135	24	14	0	367	80	0
136	23	5	0	47	35	0
137	22	16	0	313	171	0
138	20	11	2	5	4	0
139	19	16	0	8	38	0
140	19	7	0	422	146	0
141	19	12	0	124	117	0
142	20	5	4	0	1	2
143	20	15	1	1081	486	0
144	14	12	0	83	55	0
145	16	13	0	147	93	0
146	21	14	0	0	21	0
